SNMP sw2_ip table:
1.3.6.1.2.1.4.24.4.1.1.10.0.0.2.255.255.255.255.0.0.0.0.0 = 10.0.0.2
1.3.6.1.2.1.4.24.4.1.1.10.0.11.0.255.255.255.0.0.10.0.0.1 = 10.0.11.0
1.3.6.1.2.1.4.24.4.1.1.10.0.20.0.255.255.255.0.0.10.0.0.1 = 10.0.20.0
1.3.6.1.2.1.4.24.4.1.1.10.0.21.0.255.255.255.0.0.10.0.0.1 = 10.0.21.0
1.3.6.1.2.1.4.24.4.1.1.10.0.23.0.255.255.255.0.0.10.0.0.1 = 10.0.23.0
1.3.6.1.2.1.4.24.4.1.1.10.0.24.0.255.255.255.0.0.10.0.0.1 = 10.0.24.0
1.3.6.1.2.1.4.24.4.1.1.10.0.25.0.255.255.255.0.0.10.0.0.1 = 10.0.25.0
1.3.6.1.2.1.4.24.4.1.1.10.0.26.0.255.255.255.0.0.10.0.0.1 = 10.0.26.0
1.3.6.1.2.1.4.24.4.1.1.10.0.27.0.255.255.255.0.0.10.0.0.1 = 10.0.27.0
1.3.6.1.2.1.4.24.4.1.1.10.0.28.0.255.255.255.0.0.10.0.0.1 = 10.0.28.0
1.3.6.1.2.1.4.24.4.1.1.10.0.29.0.255.255.255.0.0.10.0.0.1 = 10.0.29.0
1.3.6.1.2.1.4.24.4.1.1.10.0.30.0.255.255.255.0.0.10.0.0.1 = 10.0.30.0
1.3.6.1.2.1.4.24.4.1.1.10.0.31.0.255.255.255.0.0.10.0.0.1 = 10.0.31.0
1.3.6.1.2.1.4.24.4.1.1.10.0.32.0.255.255.255.0.0.10.0.0.1 = 10.0.32.0
1.3.6.1.2.1.4.24.4.1.1.10.0.33.0.255.255.255.0.0.10.0.0.1 = 10.0.33.0
1.3.6.1.2.1.4.24.4.1.1.10.0.34.0.255.255.255.0.0.10.0.0.1 = 10.0.34.0
1.3.6.1.2.1.4.24.4.1.1.10.0.35.0.255.255.255.0.0.10.0.0.1 = 10.0.35.0
1.3.6.1.2.1.4.24.4.1.1.10.0.36.0.255.255.255.0.0.10.0.0.1 = 10.0.36.0
1.3.6.1.2.1.4.24.4.1.1.10.0.37.0.255.255.255.0.0.10.0.0.1 = 10.0.37.0
1.3.6.1.2.1.4.24.4.1.1.10.0.124.0.255.255.255.0.0.10.0.0.1 = 10.0.124.0
1.3.6.1.2.1.4.24.4.1.1.10.0.125.0.255.255.255.0.0.10.0.0.1 = 10.0.125.0
1.3.6.1.2.1.4.24.4.1.1.10.0.126.0.255.255.255.0.0.10.0.0.1 = 10.0.126.0
1.3.6.1.2.1.4.24.4.1.1.10.0.127.0.255.255.255.0.0.10.0.0.1 = 10.0.127.0
1.3.6.1.2.1.4.24.4.1.1.10.0.128.0.255.255.255.0.0.10.0.0.1 = 10.0.128.0
1.3.6.1.2.1.4.24.4.1.1.10.0.129.0.255.255.255.0.0.10.0.0.1 = 10.0.129.0
1.3.6.1.2.1.4.24.4.1.1.10.0.130.0.255.255.255.0.0.10.0.0.1 = 10.0.130.0
1.3.6.1.2.1.4.24.4.1.2.0.0.0.0.0.0.0.0.0.10.0.0.1 = 0.0.0.0
1.3.6.1.2.1.4.24.4.1.2.10.0.0.0.255.255.255.224.0.0.0.0.0 = 255.255.255.224
1.3.6.1.2.1.4.24.4.1.2.10.0.0.2.255.255.255.255.0.0.0.0.0 = 255.255.255.255
1.3.6.1.2.1.4.24.4.1.2.10.0.11.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.20.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.21.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.23.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.24.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.25.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.26.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.27.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.28.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.29.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.30.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.31.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.32.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.33.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.34.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.35.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.36.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.37.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.124.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.125.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.126.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.127.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.128.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.129.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.2.10.0.130.0.255.255.255.0.0.10.0.0.1 = 255.255.255.0
1.3.6.1.2.1.4.24.4.1.3.0.0.0.0.0.0.0.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.0.0.255.255.255.224.0.0.0.0.0 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.0.2.255.255.255.255.0.0.0.0.0 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.11.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.20.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.21.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.23.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.24.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.25.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.26.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.27.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.28.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.29.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.30.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.31.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.32.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.33.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.34.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.35.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.36.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.37.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.124.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.125.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.126.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.127.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.128.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.129.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.3.10.0.130.0.255.255.255.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.4.0.0.0.0.0.0.0.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.0.0.255.255.255.224.0.0.0.0.0 = 0.0.0.0
1.3.6.1.2.1.4.24.4.1.4.10.0.0.2.255.255.255.255.0.0.0.0.0 = 0.0.0.0
1.3.6.1.2.1.4.24.4.1.4.10.0.11.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.20.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.21.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.23.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.24.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.25.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.26.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.27.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.28.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.29.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.30.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.31.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.32.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.33.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.34.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.35.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.36.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.37.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.124.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.125.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.126.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.127.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.128.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.129.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.4.10.0.130.0.255.255.255.0.0.10.0.0.1 = 10.0.0.1
1.3.6.1.2.1.4.24.4.1.5.0.0.0.0.0.0.0.0.0.10.0.0.1 = 0
1.3.6.1.2.1.4.24.4.1.5.10.0.0.0.255.255.255.224.0.0.0.0.0 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.0.2.255.255.255.255.0.0.0.0.0 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.11.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.20.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.21.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.23.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.24.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.25.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.26.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.27.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.28.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.29.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.30.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.31.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.32.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.33.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.34.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.35.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.36.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.37.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.124.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.125.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.126.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.127.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.128.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.129.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.5.10.0.130.0.255.255.255.0.0.10.0.0.1 = 100
1.3.6.1.2.1.4.24.4.1.6.0.0.0.0.0.0.0.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.0.0.255.255.255.224.0.0.0.0.0 = 3
1.3.6.1.2.1.4.24.4.1.6.10.0.0.2.255.255.255.255.0.0.0.0.0 = 3
1.3.6.1.2.1.4.24.4.1.6.10.0.11.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.20.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.21.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.23.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.24.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.25.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.26.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.27.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.28.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.29.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.30.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.31.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.32.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.33.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.34.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.35.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.36.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.37.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.124.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.125.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.126.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.127.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.128.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.129.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.6.10.0.130.0.255.255.255.0.0.10.0.0.1 = 4
1.3.6.1.2.1.4.24.4.1.7.0.0.0.0.0.0.0.0.0.10.0.0.1 = 3
1.3.6.1.2.1.4.24.4.1.7.10.0.0.0.255.255.255.224.0.0.0.0.0 = 2
1.3.6.1.2.1.4.24.4.1.7.10.0.0.2.255.255.255.255.0.0.0.0.0 = 2
1.3.6.1.2.1.4.24.4.1.7.10.0.11.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.20.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.21.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.23.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.24.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.25.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.26.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.27.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.28.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.29.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.30.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.31.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.32.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.33.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.34.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.35.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.36.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.37.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.124.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.125.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.126.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.127.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.128.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.129.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.7.10.0.130.0.255.255.255.0.0.10.0.0.1 = 16
1.3.6.1.2.1.4.24.4.1.8.0.0.0.0.0.0.0.0.0.10.0.0.1 = 1562507
1.3.6.1.2.1.4.24.4.1.8.10.0.0.0.255.255.255.224.0.0.0.0.0 = 1562507
1.3.6.1.2.1.4.24.4.1.8.10.0.0.2.255.255.255.255.0.0.0.0.0 = 1562507
1.3.6.1.2.1.4.24.4.1.8.10.0.11.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.20.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.21.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.23.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.24.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.25.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.26.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.27.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.28.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.29.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.30.0.255.255.255.0.0.10.0.0.1 = 1562501
1.3.6.1.2.1.4.24.4.1.8.10.0.31.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.32.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.33.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.34.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.35.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.36.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.37.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.124.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.125.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.126.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.127.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.128.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.129.0.255.255.255.0.0.10.0.0.1 = 1562502
1.3.6.1.2.1.4.24.4.1.8.10.0.130.0.255.255.255.0.0.10.0.0.1 = 1562490
1.3.6.1.2.1.4.24.4.1.9.0.0.0.0.0.0.0.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.0.0.255.255.255.224.0.0.0.0.0 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.0.2.255.255.255.255.0.0.0.0.0 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.11.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.20.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.21.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.23.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.24.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.25.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.26.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.27.0.255.255.255.0.0.10.0.0.1 = 0.0
1.3.6.1.2.1.4.24.4.1.9.10.0.28.0.255.255.255.0.0.10.0.0.1 = 0.0
